
> @nms/content@0.1.0 shotlist
> node --experimental-strip-types scripts/shot-list.ts --csv

rep,clip,type,direction,seconds,words,status,narration
"1.2","m1-r2-b14","avatar","full screen, direct close","13","33","to render","In our next section, we’re going to tackle something that trips up nearly every new manager — what happens to your relationships, your friendships, and your professional identity when you become the boss."
"1.3","m1-r3-b1","avatar","full screen, direct to camera","24","61","to render","If there's one thing that catches new managers completely off guard — it's this. Your relationships just changed. Whether you wanted them to or not. The colleagues you used to vent to. The friends you grabbed lunch with. The peers who felt like teammates. That dynamic has shifted — and how you navigate it will directly affect your ability to lead."
"1.3","","overlay","","0","0","no footage — native card",""
"1.3","m1-r3-b3","avatar","full screen","59","148","to render","Let me be clear about something upfront. This doesn't mean you become cold, distant, or unapproachable. It doesn't mean you stop caring about the people on your team. What it does mean is that the nature of the relationship has changed. And pretending otherwise creates problems — for you, for them, and for the whole team. One of the most common mistakes new managers make is trying to maintain the same peer-level friendships with their direct reports after the promotion. The motivation is completely understandable — you don't want things to feel awkward, you want people to like you. But here's the reality. When you're someone's manager, you will sometimes have to deliver feedback they don't want to hear. Make decisions that don't go their way. Hold people accountable. And those things are very hard to do well when you've blurred the line between manager and best friend."
"1.3","","moment","","3","0","no footage — native card",""
"1.3","m1-r3-b5","avatar","full screen","16","39","to render","And those are built very differently. Approval-seeking — making decisions based on what will make people like you rather than what's right for the team — is one of the most costly traps a new manager can fall into."
"1.3","","buildList","avatar steps back, items build on screen","20","0","no footage — native card",""
"1.3","","hold","","2","0","not shown — edit direction only",""
"1.3","m1-r3-b8","avatar","full screen","20","50","to render","Over time, a team that senses you're managing relationships instead of managing outcomes will test those limits. Your strongest people will lose respect. And your struggling people will take full advantage of the gap. So how do you earn respect instead of seeking approval? Here's what it actually looks like."
"1.3","","buildList","avatar steps back, items build on screen","20","0","no footage — native card",""
"1.3","","hold","","2","0","not shown — edit direction only",""
"1.3","m1-r3-b11","avatar","full screen","20","51","to render","Respect is built in small, repeated moments. Every time you follow through on something you said you'd do — that's a deposit. Every time you don't — that's a withdrawal. The balance in that account is your credibility as a manager. Now here's the distinction that makes all of this manageable."
"1.3","","overlay","","0","0","no footage — native card",""
"1.3","m1-r3-b13","avatar","full screen","42","105","to render","You can be warm without being a confidant. You can be approachable without being a peer. You can genuinely care about your team's goals, challenges, and wellbeing — while still maintaining the professional clarity that makes you an effective leader. The most respected managers aren't the ones who kept all their old friendships intact by pretending nothing changed. They're the ones who were honest about the shift and showed up for their team in the ways that actually matter. One last thing — and this one is important. The tone you set in the first few weeks as a manager is the tone that sticks."
"1.3","","buildList","avatar steps back, items build on screen","17","0","no footage — native card",""
"1.3","","hold","","2","0","not shown — edit direction only",""
"1.3","m1-r3-b16","avatar","full screen, direct close","37","92","to render","These early signals become the culture of your team. And culture is far easier to build intentionally from the start than to repair once the wrong patterns are already in place. You don't have to be perfect. But you do have to be deliberate. In our next section we're going to talk about something that connects directly to everything we just covered — your energy. How your presence, your mood, and the way you show up each day shapes your team's performance more than almost anything else you'll do as a manager."
"1.4","m1-r4-b1","avatar","full screen, direct to camera","31","78","to render","Before you ever say a word to your team, they've already read you. The moment you walk through the door — or join the call — your team is picking up on signals. Your posture. Your expression. The pace of your words. Whether you seem distracted or present. Whether you seem tense or calm. As a manager, you are always on. And whether you intend it or not, what you project gets absorbed by the people around you."
"1.4","","overlay","","0","0","no footage — native card",""
"1.4","m1-r4-b3","avatar","full screen","32","81","to render","Emotional contagion is the phenomenon where one person's emotional state spreads to those around them — often without anyone realizing it's happening. You've felt it before. You walk into a room and immediately sense the tension without anyone saying a word. Or you're around someone whose energy is calm and focused and you feel yourself settle. As a manager, you are the most contagious person in the room. Your mood doesn't stay with you — it travels. Directly to your team."
"1.4","m1-r4-b4","avatar","full screen","19","47","to render","Think about the manager who arrives stressed, distracted, and short with people. Maybe they're dealing with something real — a difficult conversation with their own boss, a bad morning, a problem they can't stop thinking about. But here's what happens on the other side of that energy."
"1.4","","buildList","avatar steps back, items build on screen","20","0","no footage — native card",""
"1.4","","hold","","2","0","not shown — edit direction only",""
"1.4","m1-r4-b7","avatar","full screen","15","38","to render","And here's the thing — none of that was intentional. The manager didn't plan to create that effect. But it happened anyway. This is why self-awareness is not a soft skill for managers. It is a leadership responsibility."
"1.4","","moment","","3","0","no footage — native card",""
"1.4","m1-r4-b9","avatar","full screen","38","95","to render","Now let's be clear about something. This is not about performing happiness you don't feel. It's not about being fake, pretending everything is great when it isn't, or putting on a show. Your team can see through that too — and inauthenticity erodes trust just as fast as negativity does. What this is about is being intentional. Taking a moment before you engage your team to check in with yourself, reset if you need to, and show up as a leader rather than as a reaction. Here's a simple pre-game routine that high-performing managers use."
"1.4","","buildList","avatar steps back, items build on screen","20","0","no footage — native card",""
"1.4","","hold","","2","0","not shown — edit direction only",""
"1.4","m1-r4-b12","avatar","full screen","28","70","to render","That routine takes less than two minutes. But it changes everything about how you show up. Your team is not responsible for your emotional state. You are. And the investment you make in managing your own energy pays dividends in team morale, trust, and performance every single day. The best leaders are not the ones who never have a bad day. They're the ones whose team rarely knows they did."
"1.4","m1-r4-b13","avatar","full screen, direct close","17","42","to render","In our next section, we’re going to go deeper on the skill that underpins everything we just talked about — Emotional Intelligence. What it actually is, why it matters more for managers than almost anyone else, and how to develop it deliberately."
"1.5","m1-r5-b1","avatar","full screen, direct to camera","22","55","to render","There is one skill that research consistently identifies as the strongest predictor of management effectiveness. It's not IQ. It's not technical expertise. It's not years of experience. It's Emotional Intelligence. And before you dismiss that as corporate buzzword territory — stay with me. Because this one is going to change how you think about leadership."
"1.5","","overlay","","0","0","no footage — native card",""
"1.5","m1-r5-b3","avatar","full screen","29","72","to render","Emotional Intelligence is the ability to recognize, understand, and manage your own emotions — and to recognize and influence the emotions of the people around you. For an individual contributor, this is a useful skill. For a manager, it is the skill. Because everything you do as a leader — giving feedback, building trust, handling conflict, motivating your team — runs through your ability to understand and navigate emotions. Yours and theirs."
"1.5","m1-r5-b4","avatar","full screen","5","13","to render","There are four components of Emotional Intelligence that matter most for new managers."
"1.5","","buildList","avatar steps back, items build on screen","20","0","no footage — native card",""
"1.5","","hold","","2","0","not shown — edit direction only",""
"1.5","m1-r5-b7","avatar","full screen","43","107","to render","All four of these matter. But if you're a new manager, the one to focus on first is self-regulation — because it directly affects everything else. Self-regulation is the ability to pause before you react. To respond thoughtfully rather than impulsively. To stay calm and intentional when the situation around you is not. Think about the moments that test this most as a manager. An employee makes a costly mistake. Someone pushes back on a decision in front of the team. You get a last-minute curveball from your boss right before an important meeting. In every one of those moments, you have a choice. React or respond."
"1.5","","moment","","3","0","no footage — native card",""
"1.5","m1-r5-b9","avatar","full screen","3","8","to render","Here's what strong self-regulation looks like in practice."
"1.5","","buildList","avatar steps back, items build on screen","20","0","no footage — native card",""
"1.5","","hold","","2","0","not shown — edit direction only",""
"1.5","m1-r5-b12","avatar","full screen","39","98","to render","Now let's talk about empathy — because this one surprises a lot of new managers. Empathy is not about agreeing with everyone or avoiding hard decisions to spare people's feelings. Empathy is about understanding where someone is coming from before you respond to them. When a team member is resistant to feedback, a manager without empathy gets frustrated. A manager with empathy gets curious. They ask — what's driving this reaction? What might this person be dealing with that I'm not seeing? That curiosity doesn't change the feedback. But it changes the conversation. And it changes the outcome."
"1.5","m1-r5-b13","avatar","full screen","26","64","to render","Here's what's important to understand about Emotional Intelligence. You are not born with a fixed level of it. EI can be developed. It responds to practice, feedback, and intentional effort — just like any other skill. Every difficult conversation you navigate thoughtfully. Every moment you choose to pause rather than react. Every time you try to understand before being understood. That's your EI growing."
"1.5","","overlay","","0","0","no footage — native card",""
"1.5","m1-r5-b15","avatar","full screen, direct close","16","41","to render","In our next section, we’re going to introduce one of the most practical leadership frameworks you’ll use throughout your career — the idea that great managers don’t have one style. They have the right style for each person in each moment."
"1.6","m1-r6-b1","avatar","full screen, direct to camera","34","86","to render","One of the most common mistakes new managers make — and it's a costly one — is treating everyone on their team exactly the same way. On the surface, that sounds fair. Same rules, same approach, same style for everyone. But here's the problem. Different people need different things from their manager. And the same person can need different things from you depending on the task, the situation, or where they are in their development. Managing everyone identically doesn't make you fair. It makes you inflexible."
"1.6","","overlay","","0","0","no footage — native card",""
"1.6","m1-r6-b3","avatar","full screen","42","105","to render","The Readiness Dial is built on one simple idea: the most effective leadership style depends on the person you're leading and the specific task at hand. This isn't about playing favorites or being inconsistent. It's about being smart enough to recognize that a brand-new employee learning an unfamiliar process needs something completely different from a seasoned team member who's been doing the same job for three years. Let's break this down. Every employee on your team sits somewhere on a readiness spectrum for any given task. Readiness is a combination of two things — their skill level and their confidence level for that specific task."
"1.6","","buildList","avatar steps back, items build on screen","20","0","no footage — native card",""
"1.6","","hold","","2","0","not shown — edit direction only",""
"1.6","m1-r6-b6","avatar","full screen","7","17","to render","Now here's where it gets practical. Each readiness level calls for a different leadership response from you."
"1.6","","buildList","avatar steps back, items build on screen","20","0","no footage — native card",""
"1.6","","hold","","2","0","not shown — edit direction only",""
"1.6","m1-r6-b9","avatar","full screen","27","68","to render","Here's the part that trips up most new managers. These levels are task-specific — not person-specific. Your strongest employee might be a Level 4 on the work they do every day. But put them on a new project in an unfamiliar area and they may drop to a Level 2. They still need your guidance — just in a different way than the newest person on your team."
"1.6","","moment","","3","0","no footage — native card",""
"1.6","m1-r6-b11","avatar","full screen","46","114","to render","Let me give you a real example. You have two team members. Maria has been in her role for three years. She knows the process inside out. You give her goals and she runs. That's Level 4 — you delegate and trust. Then you ask Maria to take on a brand new responsibility she's never done before. Suddenly she's asking more questions, second-guessing herself, needing more check-ins. She didn't get worse at her job. She just moved to a new task where she's a Level 2 right now. She needs your coaching, not your distance. Managing her the same way you did yesterday — high autonomy, minimal direction — would be the wrong call."
"1.6","m1-r6-b12","avatar","full screen","7","18","to render","The Readiness Dial gives you a simple question to ask yourself before every interaction with a team member:"
"1.6","m1-r6-b13","overlay","","5","13","to render","Answer that question and you'll know exactly how to show up for them."
"1.6","m1-r6-b14","avatar","full screen, direct close","20","50","to render","In our final content section of Module 1, we're going to bring everything together — because all the mindset shifts we've talked about mean very little if they don't show up in how you actually behave every day. Leading by example. Acting like an owner. That's where we're headed next."
"1.7","m1-r7-b1","avatar","full screen, direct to camera","33","82","to render","Your team is not listening to what you say nearly as much as they are watching what you do. This is one of the most important things to understand about leadership — and one of the most humbling. You can give the best speech about accountability. You can put up a poster about team values. You can talk all day about the standards you expect. But if your behavior doesn’t match your words, your team will follow your behavior. Every single time."
"1.7","","moment","","3","0","no footage — native card",""
"1.7","m1-r7-b3","avatar","full screen","54","134","to render","Leading by example is not about being perfect. It's not about never making mistakes or always having the right answer. It's about being consistent. Showing up the same way on a tough Tuesday as you do on a great Friday. Holding yourself to the same standards you hold your team. And being visible about it. When you're running five minutes late to a meeting you've told your team to always be on time for — they notice. When you skip the process you told everyone to follow because you're in a hurry — they notice. When you talk about transparency but keep your team in the dark — they notice. Credibility is earned through alignment between what you say and what you do. And it is lost fast when those two things don't match."
"1.7","m1-r7-b4","avatar","full screen","9","23","to render","Now let's talk about what it means to act like an owner — because this concept is especially powerful in a small business."
"1.7","m1-r7-b5","overlay","","26","64","to render","Acting like an owner doesn't mean you have equity in the business or that you make every decision. It means you think beyond your immediate task. You care about outcomes, not just outputs. You treat the business's resources — time, money, people — with the same respect you'd give them if they were your own. Here's what that actually looks like day to day."
"1.7","","buildList","avatar steps back, items build on screen","20","0","no footage — native card",""
"1.7","","hold","","2","0","not shown — edit direction only",""
"1.7","m1-r7-b8","avatar","full screen","30","74","to render","There's a concept in leadership called Servant Leadership — and it connects directly to everything we've been talking about. The idea is simple. Your job as a manager is not to be served by your team. Your job is to serve your team. To remove the obstacles in their path. To give them what they need to do their best work. To put their development and success at the center of what you do."
"1.7","","overlay","","0","0","no footage — native card",""
"1.7","m1-r7-b10","avatar","full screen","37","92","to render","This might feel counterintuitive. You just got promoted — shouldn't the team be supporting you? Here's the reframe. The team supporting you means your team performs well. And your team performs well when you are genuinely invested in helping them succeed. That's how it compounds. The managers who spend their energy protecting their authority, hoarding information, and making sure everyone knows who's in charge — their teams underperform. The managers who spend their energy enabling, developing, and clearing the path for their people — those teams are the ones that get results."
"1.7","m1-r7-b11","avatar","full screen","17","43","to render","Let's close Module 1 with this. The first ninety days you spend as a manager will set patterns that are very hard to undo. The culture you build — or allow — in those early weeks becomes the baseline your team operates from."
"1.7","","buildList","avatar steps back, items build on screen","20","0","no footage — native card",""
"1.7","","hold","","2","0","not shown — edit direction only",""
"1.7","m1-r7-b14","avatar","full screen, direct close","36","90","to render","You are not just managing tasks or people. You are shaping a culture — whether you realize it or not. Do it deliberately. Do it consistently. And do it in a way that the people on your team will look back on and say — that’s the kind of manager I want to be someday. That’s what this is all about. Coming up next — your Module 1 review. We’re going to pull all seven sections together and make sure the key ideas are locked in before you move forward."
"1.8","m1-r8-b1","avatar","full screen, direct to camera","21","53","to render","You've just completed Module 1. Seven sections covering the most important mindset shifts a new manager needs to make before anything else. Let's take a few minutes to pull the key ideas together — because the best managers don't just watch and move on. They reflect, connect the dots, and make it stick."
"1.8","","overlay","","0","0","no footage — native card",""
"1.8","m1-r8-b3","avatar","full screen","3","7","to render","Here's what you covered in this module."
"1.8","","buildList","avatar steps back, items build on screen","29","0","no footage — native card",""
"1.8","","hold","","2","0","not shown — edit direction only",""
"1.8","m1-r8-b6","avatar","full screen","12","30","to render","Now let's put some of these ideas to work with a few real-world scenarios. Think about what you would do in each situation — then we'll walk through it together."
"1.8","m1-r8-b7","avatar","full screen, direct close","30","74","to render","Those are the moments that define what kind of manager you're becoming. Not the easy days — the ones that test what you've learned. You've built the foundation in this module. The mindset, the emotional awareness, the frameworks for understanding your team. Everything that follows in this program builds on what you've started here. Complete your Module 1 quiz to lock in what you've learned — and then we'll see you in Module 2."
